target	relatum	kind	elicited_relation	documented_relation	status	prob	hapax	min_distance
belief	disbelief	abstract	ANT	ANT	Matched	0.34375	False	
belief	doubt	abstract	ANT		Missing	0.28125	False	
belief	disgust	abstract	ANT		Missing	0.03125	False	
belief	gross	abstract	ANT		Missing	0.03125	False	
belief	denial	abstract	ANT		Missing	0.03125	False	
belief	lie	abstract	ANT		Missing	0.046875	False	
belief	uncertainty	abstract	ANT		Missing	0.03125	False	
belief	skepticism	abstract	ANT		Missing	0.015625	True	
belief	chaos	abstract	ANT		Missing	0.015625	True	
belief	myth	abstract	ANT		Missing	0.015625	True	
belief	astonishment	abstract	ANT		Missing	0.015625	True	
belief	distrust	abstract	ANT		Missing	0.015625	True	
belief	skeptic	abstract	ANT		Missing	0.015625	True	
belief	fact	abstract	ANT		Missing	0.015625	True	
belief	faith	abstract	HPO	HPO	Matched	0.2758620689655172	False	1.0
belief	religion	abstract	HPO	HPO	Matched	0.1379310344827586	False	1.0
belief	spirituality	abstract	HPO		Missing	0.0344827586206896	True	
belief	god	abstract	HPO		Missing	0.0344827586206896	True	2.0
belief	bible	abstract	HPO		Missing	0.0344827586206896	True	
belief	superstition	abstract	HPO	HPO	Matched	0.0344827586206896	True	1.0
belief	dogma	abstract	HPO		Missing	0.0689655172413793	False	2.0
belief	hope	abstract	HPO		Missing	0.0344827586206896	True	2.0
belief	trust	abstract	HPO	HPO	Matched	0.0344827586206896	True	1.0
belief	confidence	abstract	HPO		Missing	0.0344827586206896	True	
belief	credence	abstract	HPO		Missing	0.0344827586206896	True	
belief	value	abstract	HPO		Missing	0.0344827586206896	True	
belief	doctrine	abstract	HPO	HPO	Matched	0.0344827586206896	True	1.0
belief	cult	abstract	HPO		Missing	0.0344827586206896	True	2.0
belief	conviction	abstract	HPO	HPO	Matched	0.0344827586206896	True	1.0
belief	tenet	abstract	HPO		Missing	0.0344827586206896	True	3.0
belief	disbelief	abstract	HPO	ANT	Mismatched	0.0344827586206896	True	
belief	principle	abstract	HPO		Missing	0.0344827586206896	True	
leg	body	ambiguous	HOL	HOL	Matched	0.4814814814814814	False	
leg	person	ambiguous	HOL		Missing	0.037037037037037	False	
leg	animal	ambiguous	HOL		Missing	0.0555555555555555	False	
leg	insect	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	creature	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	table	ambiguous	HOL	HOL	Matched	0.0555555555555555	False	
leg	horse	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	chair	ambiguous	HOL	HOL	Matched	0.037037037037037	False	
leg	monkey	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	limb	ambiguous	HOL	HYP	Mismatched	0.0185185185185185	True	
leg	human	ambiguous	HOL		Missing	0.074074074074074	False	
leg	ankle	ambiguous	HOL	MER	Mismatched	0.0185185185185185	True	
leg	foot	ambiguous	HOL	MER	Mismatched	0.0185185185185185	True	
leg	knee	ambiguous	HOL	MER	Mismatched	0.0185185185185185	True	
leg	joint	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	bone	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	being	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	torso	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	figure	ambiguous	HOL		Missing	0.0185185185185185	True	
leg	pant	ambiguous	HOL	HOL	Matched	0.0185185185185185	True	
leg	knee	ambiguous	MER	MER	Matched	0.2247191011235955	False	
leg	shin	ambiguous	MER	MER	Matched	0.0337078651685393	False	
leg	ankle	ambiguous	MER	MER	Matched	0.1123595505617977	False	
leg	foot	ambiguous	MER	MER	Matched	0.1573033707865168	False	
leg	muscle	ambiguous	MER		Missing	0.0786516853932584	False	
leg	bone	ambiguous	MER		Missing	0.0786516853932584	False	
leg	thigh	ambiguous	MER	MER	Matched	0.1123595505617977	False	
leg	hamstring	ambiguous	MER		Missing	0.0337078651685393	False	
leg	joint	ambiguous	MER		Missing	0.0112359550561797	True	
leg	femur	ambiguous	MER		Missing	0.0224719101123595	False	
leg	toe	ambiguous	MER		Missing	0.0224719101123595	False	
leg	leg	ambiguous	MER	SYN	Mismatched	0.0224719101123595	False	
leg	digit	ambiguous	MER		Missing	0.0112359550561797	True	
leg	nail	ambiguous	MER		Missing	0.0112359550561797	True	
leg	tibia	ambiguous	MER	MER	Matched	0.0112359550561797	True	
leg	hip	ambiguous	MER		Missing	0.0112359550561797	True	
leg	heel	ambiguous	MER		Missing	0.0112359550561797	True	
leg	tendon	ambiguous	MER		Missing	0.0112359550561797	True	
leg	calf	ambiguous	MER		Missing	0.0112359550561797	True	
calculus	math	ambiguous	HYP		Missing	0.3432835820895522	False	2.0
calculus	study	ambiguous	HYP		Missing	0.0597014925373134	False	4.0
calculus	profession	ambiguous	HYP		Missing	0.0149253731343283	True	
calculus	science	ambiguous	HYP		Missing	0.044776119402985	False	3.0
calculus	major	ambiguous	HYP		Missing	0.0298507462686567	False	
calculus	subject	ambiguous	HYP		Missing	0.1641791044776119	False	4.0
calculus	calculation	ambiguous	HYP		Missing	0.0149253731343283	True	
calculus	assessment	ambiguous	HYP		Missing	0.0149253731343283	True	
calculus	method	ambiguous	HYP		Missing	0.0149253731343283	True	
calculus	way	ambiguous	HYP		Missing	0.0149253731343283	True	
calculus	mathematics	ambiguous	HYP		Missing	0.0597014925373134	False	2.0
calculus	course	ambiguous	HYP		Missing	0.0597014925373134	False	
calculus	arithmetic	ambiguous	HYP		Missing	0.0298507462686567	False	
calculus	lesson	ambiguous	HYP		Missing	0.044776119402985	False	
calculus	topic	ambiguous	HYP		Missing	0.0298507462686567	False	
calculus	class	ambiguous	HYP		Missing	0.0298507462686567	False	
calculus	education	ambiguous	HYP		Missing	0.0149253731343283	True	
poverty	wealth	abstract	ANT		Missing	0.423728813559322	False	
poverty	richness	abstract	ANT		Missing	0.0677966101694915	False	
poverty	luxury	abstract	ANT		Missing	0.0338983050847457	False	
poverty	exuberance	abstract	ANT		Missing	0.0169491525423728	True	
poverty	opulence	abstract	ANT		Missing	0.0169491525423728	True	
poverty	splendor	abstract	ANT		Missing	0.0169491525423728	True	
poverty	rich	abstract	ANT		Missing	0.135593220338983	False	
poverty	affluent	abstract	ANT		Missing	0.0169491525423728	True	
